City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Poum,NC,81.77,overcast clouds,-20.2333,164.0167,Gîte kajeon
12,Rikitea,PF,76.05,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Black River,JM,84.97,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
20,Atuona,PF,77.97,scattered clouds,-9.8,-139.0333,Villa Enata
29,Vung Tau,VN,76.78,overcast clouds,10.346,107.0843,Green hotel
48,Sao Filipe,CV,76.51,scattered clouds,14.8961,-24.4956,Hotel Xaguate
49,Hithadhoo,MV,81.41,overcast clouds,-0.6,73.0833,Scoop Guest House
50,Bima,ID,77.13,overcast clouds,-8.4667,118.7167,Lambitu Hotel
54,Cabo San Lucas,MX,81.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
56,Isangel,VU,78.6,broken clouds,-19.55,169.2667,Tanna Lodge
64,Biloxi,US,80.6,broken clouds,30.396,-88.8853,IP Casino Resort Spa
65,San Patricio,US,87.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
71,Sao Joao Da Barra,BR,82.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
82,Nouadhibou,MR,76.98,few clouds,20.931,-17.0347,El Medina
83,Ewa Beach,US,75.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
85,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
90,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
92,Butaritari,KI,82.22,light rain,3.0707,172.7902,Isles Sunset Lodge
95,Barceloneta,PR,87.62,few clouds,18.4505,-66.5385,Manati World Point Inn
98,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
101,Maragogi,BR,83.75,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
103,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
108,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
114,Biltine,TD,79.25,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
117,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
118,Muana,BR,87.96,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
119,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
121,Kattivakkam,IN,81.07,clear sky,13.2167,80.3167,Euronova Freezer
126,Labuhan,ID,78.4,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
