City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Arvika,SE,2021-12-10 17:39:51,59.6553,12.5852,32.7,99,100,7.18,light snow
1,Khatanga,RU,2021-12-10 17:35:23,71.9667,102.5,-34.53,100,100,4.99,overcast clouds
2,Bluff,NZ,2021-12-10 17:32:29,-46.6,168.3333,55.8,79,100,9.66,overcast clouds
3,Nanortalik,GL,2021-12-10 17:39:52,60.1432,-45.2371,27.73,79,100,5.37,overcast clouds
4,Yajalon,MX,2021-12-10 17:39:53,17.2333,-92.3333,75.02,40,13,3.42,few clouds
5,Lodja,CD,2021-12-10 17:39:53,-3.4833,23.4333,74.01,85,96,2.44,light rain
6,Poum,NC,2021-12-10 17:34:04,-20.2333,164.0167,81.77,78,100,13.58,overcast clouds
7,Ahipara,NZ,2021-12-10 17:39:54,-35.1667,173.1667,63.99,96,77,5.03,broken clouds
8,Mataura,NZ,2021-12-10 17:32:36,-46.1927,168.8643,55.47,95,100,1.41,overcast clouds
9,Beloha,MG,2021-12-10 17:39:55,-25.1667,45.05,75.92,79,95,10.29,overcast clouds
10,Chulym,RU,2021-12-10 17:39:56,55.0997,80.9572,11.26,92,93,8.66,overcast clouds
11,Cherskiy,RU,2021-12-10 17:34:10,68.75,161.3,-42.84,97,99,5.14,overcast clouds
12,Rikitea,PF,2021-12-10 17:30:56,-23.1203,-134.9692,76.05,73,98,17.69,overcast clouds
13,Hobart,AU,2021-12-10 17:30:03,-42.8794,147.3294,51.66,87,75,3.0,light intensity shower rain
14,New Norfolk,AU,2021-12-10 17:30:54,-42.7826,147.0587,51.3,76,64,1.9,broken clouds
15,Lardos,GR,2021-12-10 17:39:57,36.0942,28.0157,63.95,75,44,18.19,scattered clouds
16,San Jose,US,2021-12-10 17:36:55,37.3394,-121.895,53.78,76,1,0.0,clear sky
17,Cuiluan,CN,2021-12-10 17:39:58,47.72,128.648,7.83,97,66,2.66,broken clouds
18,Luoyang,CN,2021-12-10 17:39:58,34.6836,112.4536,45.03,86,100,4.68,overcast clouds
19,Black River,JM,2021-12-10 17:39:59,18.0264,-77.8487,84.97,55,9,7.52,clear sky
20,Atuona,PF,2021-12-10 17:32:34,-9.8,-139.0333,77.97,73,43,14.0,scattered clouds
21,Ternitz,AT,2021-12-10 17:40:00,47.7156,16.0357,31.51,95,45,4.36,scattered clouds
