City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,0,Mahebourg,MU,2021-12-06 23:13:00,-20.4081,57.7,78.26,78,20,5.75
1,1,Hermanus,ZA,2021-12-06 23:13:01,-34.4187,19.2345,58.89,76,7,2.37
2,2,Lavrentiya,RU,2021-12-06 23:13:02,65.5833,-171.0,-2.04,92,100,8.88
3,3,Konstantinovka,RU,2021-12-06 23:13:02,49.6167,127.9833,12.81,84,95,9.8
4,4,Bambous Virieux,MU,2021-12-06 23:13:04,-20.3428,57.7575,78.22,78,20,5.75
5,5,Belmonte,BR,2021-12-06 23:13:04,-15.8631,-38.8828,79.3,83,68,7.27
6,6,Qianan,CN,2021-12-06 23:13:05,44.9932,124.0581,17.96,78,4,12.46
7,7,Qaanaaq,GL,2021-12-06 23:13:05,77.484,-69.3632,19.65,80,100,7.47
8,8,Cururupu,BR,2021-12-06 23:13:06,-1.8283,-44.8683,77.16,90,59,3.27
9,9,Afikpo,NG,2021-12-06 23:13:07,5.8931,7.9374,78.8,78,100,6.85
10,10,Puerto Ayora,EC,2021-12-06 23:13:07,-0.7393,-90.3518,70.34,78,54,9.1
11,11,Kaitangata,NZ,2021-12-06 23:13:07,-46.2817,169.8464,57.92,76,87,11.43
12,12,Atuona,PF,2021-12-06 23:13:08,-9.8,-139.0333,79.12,67,11,19.53
13,13,Lorengau,PG,2021-12-06 23:13:08,-2.0226,147.2712,84.61,78,97,14.63
14,14,Punta Arenas,CL,2021-12-06 23:13:09,-53.15,-70.9167,51.12,85,100,14.92
15,15,Albany,US,2021-12-06 23:13:09,42.6001,-73.9662,57.78,90,100,11.54
16,16,Ushuaia,AR,2021-12-06 23:09:17,-54.8,-68.3,56.86,44,40,5.75
17,17,Nanortalik,GL,2021-12-06 23:13:10,60.1432,-45.2371,24.39,65,55,40.38
18,18,Taft,IR,2021-12-06 23:13:10,31.7471,54.2088,45.14,41,5,6.69
19,19,Bijie,CN,2021-12-06 23:13:12,27.3125,105.2942,48.76,84,95,9.37
20,20,Comodoro Rivadavia,AR,2021-12-06 23:13:12,-45.8667,-67.5,75.06,27,0,16.11
21,21,Bredasdorp,ZA,2021-12-06 23:13:13,-34.5322,20.0403,51.28,79,8,3.51
22,22,Kavieng,PG,2021-12-06 23:13:13,-2.5744,150.7967,82.72,80,100,11.07
23,23,Alofi,NU,2021-12-06 23:13:14,-19.0595,-169.9187,80.49,74,90,16.11
24,24,Busselton,AU,2021-12-06 23:13:15,-33.65,115.3333,61.05,60,0,18.34
25,25,Port Elizabeth,ZA,2021-12-06 23:13:15,-33.918,25.5701,62.1,90,80,7.61
26,26,Nome,US,2021-12-06 23:13:16,64.5011,-165.4064,24.87,86,90,18.41
27,27,Yellowknife,CA,2021-12-06 23:13:16,62.456,-114.3525,-16.58,86,28,4.0
28,28,Tasiilaq,GL,2021-12-06 23:13:16,65.6145,-37.6368,30.36,78,98,8.63
29,29,Vardo,NO,2021-12-06 23:13:17,70.3705,31.1107,10.6,81,97,14.5
30,30,Okhotsk,RU,2021-12-06 23:13:17,59.3833,143.3,-6.72,82,100,16.02
31,31,Faya,SA,2021-12-06 23:13:18,18.3851,42.4509,50.52,28,0,2.84
32,32,Broome,US,2021-12-06 23:13:18,42.2506,-75.833,45.21,82,90,5.99
33,33,Rikitea,PF,2021-12-06 23:13:19,-23.1203,-134.9692,76.42,72,73,8.5
34,34,Kodiak,US,2021-12-06 23:13:19,57.79,-152.4072,40.51,81,90,10.36
35,35,Kulhudhuffushi,MV,2021-12-06 23:13:20,6.6221,73.07,81.57,77,18,11.07
36,36,Mehamn,NO,2021-12-06 23:13:20,71.0357,27.8492,21.11,92,99,9.73
37,37,Saint George,US,2021-12-06 23:12:32,37.1041,-113.5841,62.35,26,1,1.99
38,38,Los Llanos De Aridane,ES,2021-12-06 23:13:21,28.6585,-17.9182,62.35,76,75,10.0
39,39,Cayenne,GF,2021-12-06 23:13:21,4.9333,-52.3333,78.1,90,75,0.0
40,40,Zhigansk,RU,2021-12-06 23:13:24,66.7697,123.3711,-25.96,96,100,10.07
41,41,Yar-Sale,RU,2021-12-06 23:13:29,66.8333,70.8333,7.61,94,97,6.44
42,42,Butaritari,KI,2021-12-06 23:13:29,3.0707,172.7902,83.07,75,98,14.43
43,43,Yulara,AU,2021-12-06 23:13:30,-25.2406,130.9889,79.83,40,22,17.98
44,44,Vaini,TO,2021-12-06 23:13:30,-21.2,-175.2,82.56,83,40,10.36
45,45,Nalut,LY,2021-12-06 23:13:30,30.3333,10.85,43.02,50,0,15.39
46,46,Constitucion,CL,2021-12-06 23:13:31,-35.3333,-72.4167,59.27,81,63,10.27
47,47,Aykhal,RU,2021-12-06 23:13:31,66.0,111.5,-28.55,100,64,5.32
48,48,Labuhan,ID,2021-12-06 23:13:32,-6.8844,112.2051,78.19,86,100,5.21
49,49,Avarua,CK,2021-12-06 23:14:32,-21.2078,-159.775,78.85,89,75,2.3
50,50,Mataura,NZ,2021-12-06 23:14:32,-46.1927,168.8643,61.48,44,4,2.59
51,51,Matara,LK,2021-12-06 23:14:33,5.9485,80.5353,75.07,91,33,5.17
52,52,Makakilo City,US,2021-12-06 23:14:33,21.3469,-158.0858,73.72,90,90,6.91
53,53,Presidencia Roque Saenz Pena,AR,2021-12-06 23:14:34,-26.7852,-60.4388,80.6,49,60,4.34
54,54,Pochutla,MX,2021-12-06 23:14:34,15.7432,-96.4661,87.82,53,0,5.59
55,55,Hobart,AU,2021-12-06 23:11:07,-42.8794,147.3294,57.06,78,75,3.0
56,56,Torbay,CA,2021-12-06 23:14:35,47.6666,-52.7314,34.68,80,91,3.0
57,57,Chokurdakh,RU,2021-12-06 23:14:35,70.6333,147.9167,-22.68,97,100,1.83
58,58,Fonseca,CO,2021-12-06 23:14:36,10.8861,-72.8487,77.61,76,48,4.43
59,59,Ribeira Grande,PT,2021-12-06 23:14:36,38.5167,-28.7,64.74,78,100,17.02
60,60,Sudak,UA,2021-12-06 23:14:37,44.85,34.9667,52.05,81,100,2.48
61,61,Lewisporte,CA,2021-12-06 23:14:37,49.2499,-55.0482,30.13,63,100,6.8
62,62,Tahta,EG,2021-12-06 23:14:38,26.7693,31.5021,59.95,57,98,2.71
63,63,San Policarpo,PH,2021-12-06 23:14:39,12.1791,125.5072,79.95,82,98,14.79
64,64,Saldanha,ZA,2021-12-06 23:14:40,-33.0117,17.9442,60.22,86,11,13.53
65,65,Shingu,JP,2021-12-06 23:14:41,33.7333,135.9833,57.38,90,100,5.95
66,66,Finnsnes,NO,2021-12-06 23:14:41,69.2296,17.9811,15.76,80,53,6.06
67,67,Mgandu,TZ,2021-12-06 23:14:42,-5.95,34.1333,65.25,68,73,6.87
68,68,Mar Del Plata,AR,2021-12-06 23:14:43,-38.0023,-57.5575,68.09,80,0,5.01
69,69,Vao,NC,2021-12-06 23:14:43,-22.6667,167.4833,78.1,78,0,5.99
70,70,Dikson,RU,2021-12-06 23:14:43,73.5069,80.5464,-14.73,100,74,3.0
71,71,Oskaloosa,US,2021-12-06 23:14:44,41.2964,-92.6444,22.98,39,1,8.05
72,72,Tuktoyaktuk,CA,2021-12-06 23:14:44,69.4541,-133.0374,8.53,83,100,9.89
73,73,Genhe,CN,2021-12-06 23:14:45,50.7833,121.5167,-1.89,100,80,1.57
74,74,Sioux Lookout,CA,2021-12-06 23:14:46,50.1001,-91.917,-7.87,95,100,5.26
75,75,East London,ZA,2021-12-06 23:14:46,-33.0153,27.9116,65.57,85,72,8.46
76,76,Upernavik,GL,2021-12-06 23:14:46,72.7868,-56.1549,18.09,93,100,5.91
77,77,Olafsvik,IS,2021-12-06 23:14:47,64.8945,-23.7142,35.47,78,100,19.89
78,78,Chuy,UY,2021-12-06 23:14:47,-33.6971,-53.4616,63.54,86,4,7.11
79,79,Hilo,US,2021-12-06 23:13:01,19.7297,-155.09,80.33,90,90,11.5
80,80,Castro,BR,2021-12-06 23:14:48,-24.7911,-50.0119,59.0,97,67,3.02
81,81,Shimoda,JP,2021-12-06 23:14:49,34.6667,138.95,56.1,82,80,18.19
82,82,Narsaq,GL,2021-12-06 23:14:49,60.9167,-46.05,21.42,63,73,18.7
